mode_index,frequency_hz,damping_ratio,mpc,mpd,phi_accelX,phi_accelY,phi_accelZ
1,2.05078125,0.07142857142857142,1.0,0.0,-0.7067667610227133,-0.5408045498804831,0.45608243152091504
2,4.6875,0.041666666666666664,1.0,0.0,-0.6895589451584613,0.40240159395726044,0.6021473393884647
3,8.203125,0.125,1.0,0.0,-0.7861894025413911,0.4580130331150196,0.4148858696417488
4,24.90234375,0.01568627450980392,1.0,0.0,-0.5872487211650134,-0.707793339570749,-0.392641729760531
5,40.33203125,0.00847457627118644,1.0,0.0,-0.43523093213365527,0.45536851567638326,0.7766682371803012
6,46.484375,0.009453781512605041,1.0,0.0,-0.3976304740897,0.5255753990566958,-0.7521040526294185
7,48.6328125,,1.0,0.0,-0.6012033445801906,-0.24641104800156977,0.76015533536795
